#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.
1,Shape of You,Ed Sheeran,2017-03-03,96,65,83,-3,93,3:54,58,72
2,It Ain’t Me (with Selena Gomez),Kygo,2017-02-16,100,53,65,-7,50,3:41,9,82
3,Something Just Like This,The Chainsmokers,2017-02-22,103,65,61,-7,47,4:08,3,89
4,Cold,Maroon 5,2017-02-14,100,71,70,-6,48,3:54,12,79
5,That's What I Like,Bruno Mars,2016-11-17,134,56,85,-5,85,3:27,1,88
6,Issues,Julia Michaels,2017-01-13,114,42,70,-7,45,2:56,42,84
7,Scared to Be Lonely,Martin Garrix,2017-01-27,138,54,58,-8,19,3:41,9,92
8,Stay (with Alessia Cara),Zedd,2017-02-23,101,63,46,-5,54,3:30,24,77
9,Believer,Imagine Dragons,2017-01-31,125,78,77,-4,74,3:24,4,81
10,Paris,The Chainsmokers,2017-01-13,100,64,65,-7,26,3:42,2,95
11,The Other,Lauv,2015-03-31,180,55,38,-7,38,3:09,42,82
12,Chained To The Rhythm,Katy Perry,2017-02-10,190,81,45,-5,47,3:58,7,82
13,I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,2016-12-09,118,46,74,-8,8,4:05,5,84
14,Slide,Calvin Harris,2017-02-24,104,76,74,-4,51,3:50,33,83
15,I Got You,Bebe Rexha,2017-02-16,98,89,61,-5,31,3:12,5,74
16,Run Up,Major Lazer,2017-01-26,108,74,80,-4,68,3:23,11,80
17,Body Like A Back Road,Sam Hunt,2017-02-01,99,47,73,-7,62,2:45,46,80
18,Weak,AJR,2016-09-16,124,64,67,-5,66,3:22,13,79
19,History,Olivia Holt,2016-07-15,101,63,77,-7,50,3:24,9,77
20,Castle on the Hill,Ed Sheeran,2017-03-03,135,83,46,-5,48,4:21,2,70
21,iSpy,Kyle,2016-12-02,75,65,75,-7,66,4:13,38,79
22,Cake,Flo Rida,2016-12-16,105,85,79,-4,69,2:37,7,82
23,Call on Me - Ryan Riback Remix,Starley,2016-10-18,105,84,67,-4,69,3:42,6,82
24,Sooner Or Later,Aaron Carter,2017,112,73,74,-7,43,3:33,13,70
25,Sunset Lover,Petit Biscuit,2015,91,47,78,-9,24,3:58,73,85
26,Congratulations,Post Malone,2016-12-09,123,81,63,-4,50,3:40,20,83
27,"How Far I'll Go - From ""Moana""",Alessia Cara,2016-10-28,179,56,32,-10,15,2:56,17,80
28,All Time Low,Jon Bellion,2016-06-10,90,57,58,-4,51,3:38,5,82
29,Love On The Brain,Rihanna,2016-01-28,172,64,51,-5,39,3:44,8,77
30,Romantic - NOTD Remix,Stanaj,2016-12-30,104,65,75,-8,39,3:05,21,77
31,Green Light,Lorde,2017-03-02,129,71,61,-8,27,3:55,1,68
32,Just Hold On,Steve Aoki,2016-12-12,115,93,65,-4,39,3:19,0,89
33,Lights Down Low,MAX,2016-10-14,81,57,62,-5,61,3:45,5,70
34,Don't Leave,Snakehips,2017-01-06,122,70,66,-3,34,3:35,22,87
35,Solo Dance,Martin Jensen,2016-11-04,115,85,75,-2,42,2:55,5,82
36,It's Gotta Be You,Isaiah,2016-11-21,92,73,32,-5,58,3:11,23,78
37,Water Under the Bridge,Adele,2016-06-24,95,84,60,-7,48,4:00,2,78
38,Say You Won't Let Go,James Arthur,2016-10-28,85,56,36,-7,48,3:31,70,89
39,Thumbs,Sabrina Carpenter,2016-10-14,135,71,72,-4,12,3:36,3,74
40,Galway Girl,Ed Sheeran,2017-03-03,100,88,62,-3,77,2:51,7,73
41,Oceans Away,A R I Z O N A,2016-12-09,106,65,63,-9,22,3:14,14,82
42,Be The One,Dua Lipa,2015-10-30,87,65,66,-4,36,3:23,12,80
43,All Night,The Vamps,2016-10-14,145,77,56,-6,36,3:18,0,79
44,I Feel It Coming,The Weeknd,2016-11-25,93,82,77,-6,59,4:29,44,85
45,Selfish,Future,2017-02-24,96,37,42,-10,10,4:11,3,77
46,Bad Things - With Camila Cabello,Machine Gun Kelly,2016-10-14,138,69,67,-5,26,3:59,22,83
47,Shed A Light,Robin Schulz,2016-11-25,122,79,48,-5,56,3:11,11,88
48,Make Me (Cry),Noah Cyrus,2016-11-15,153,47,59,-7,21,4:02,59,84
49,Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-13,178,79,66,-5,85,3:48,21,91
50,September Song,JP Cooper,2016-09-16,96,66,62,-6,37,3:40,6,71